,ANSWER,QUESTION.question,QUESTION.paragraph
171,"Red clover is suitable for one or two years cover, and its deep taproot improves soil.",What is the suitable cover duration and deep taproot benefit of Red clover (Trifolium pratense)?,Red clover Trifolium pratense Suitable for one or two years cover. Deep taproot improves soil 14 5 Early September Good Good 4.5–8.2 (6.2–7.0)
172,White clover (Trifolium repens),Which green manure crop has both good winter hardiness and good pH tolerance?,White clover Trifolium repens For longer term situation. A very good low growing fertility builder 10 5 Mid August Good Good 4.5–8.2 (6.2–7.0)
173,"Stubble turnips (Brassica rapae) has the lowest sowing rate at 5 kg/ha, with a recommended sowing depth of 10 mm.",Identify the crop with the lowest sowing rate (kg/ha) and its recommended depth.,Stubble turnips Brassica rapae Must be sown by early August 5 10 Early August Good Moderate 5.6–8.0 (6.5)
174,Blue flowers.,What type of flowers does phacelia produce?,"Phacelia is another lifter known for its ability to smother weeds. Like mustard, it grows rapidly and is only used for two months cover. It produces a mass of blue flowers, which are beneficial for bees, wasps and hover flies."
175,Volunteer pests.,Which pests can mustard be a problem for?,It is important not to let the mustard flower as this may cause problems in future years from volunteers.
176,Fixes N and used as sheep keep.,What are two main benefits of sowing crimson clover?,"Crimson clover is an annual legume grown for two or three months. It fixes N and can be used as sheep keep, if required."
177,Winter months.,Which months are recommended for winter sowing of green manures?,"In winter months, seeds can be broadcast directly onto a seedbed."
178,Good green crops.,What are vetches commonly used for?,Research work from HDRA has shown levels of 100–200kg N/ha being available following vetches.
179,To smother weeds.,What is the purpose of using green manure in fields?,Phacelia is another lifter known for its ability to smother weeds.
180,Rapidly.,How quickly does mustard grow?,"Like mustard, it grows rapidly and is only used for two months cover."
181,Improved seed germination.,"To improve the soil after wetch incorporation, what can be observed?",Bear in mind that vetches can prevent seed germination when the seed is planted immediately after wetch incorporation.
182,Spring or summer.,What flowering season should one consider for vetches?,Crops following after vetches tend to have higher yields.
183,Winter vetch and rye.,What are some winter hardy species ideal for sowing green manures?,"Hardy plant species, such as winter vetch and rye, can allow late sowings to give good ground cover into colder winter weather."
184,Just below the surface in a well-prepared seedbed.,How should seeds be sown for spring and summer green manures?,"For spring and summer sowing of green manures, sow the seeds just below the surface in a well-prepared seedbed, rolling in to ensure consolidation and intimate contact with the soil."
185,Crimson clover.,Which legume is ideal to be grown for two to three months and attracts insects?,"It is the most visually attractive green manure with vivid crimson coloured flowers that will be attractive to insects, as well as humans."
186,Avoid letting mustard flower.,What should be avoided when growing mustard to prevent problems?,It is important not to let the mustard flower as this may cause problems in future years from volunteers.
187,Blue flowers of phacelia.,"Which flowers can attract bees, wasps, and hover flies?","It produces a mass of blue flowers, which are beneficial for bees, wasps and hover flies."
188,Avoiding frost-sensitive plants beyond autumn.,What must be considered when setting up green manures in late autumn?,"Due to lack of frost hardiness, mustard, phacelia and crimson clover should not be sown beyond this date."
189,Broadcast seeds onto a seedbed.,What should be ensured when seeds are sown in winter months?,"In winter months, seeds can be broadcast directly onto a seedbed."
190,Two species.,How many species are commonly used for winter green manures?,There are only two species commonly used for this purpose—rye and vetches.
191,"Fixes nitrogen, easy incorporation, good soil organic matter.",What are the benefits of using rye as green manure?,"Rye fixes large amounts of N and is very easy to incorporate in the spring, while rye (not ryegrass) is a good lifter of nitrogen and creates a very good root mass, effectively increasing soil organic matter."
