ANSWER,QUESTION.question,QUESTION.paragraph
Blue flowers.,What type of flowers does phacelia produce?,"Phacelia is another lifter known for its ability to smother weeds. Like mustard, it grows rapidly and is only used for two months cover. It produces a mass of blue flowers, which are beneficial for bees, wasps and hover flies."
Volunteer pests.,Which pests can mustard be a problem for?,It is important not to let the mustard flower as this may cause problems in future years from volunteers.
Fixes N and used as sheep keep.,What are two main benefits of sowing crimson clover?,"Crimson clover is an annual legume grown for two or three months. It fixes N and can be used as sheep keep, if required."
Winter months.,Which months are recommended for winter sowing of green manures?,"In winter months, seeds can be broadcast directly onto a seedbed."
Good green crops.,What are vetches commonly used for?,Research work from HDRA has shown levels of 100–200kg N/ha being available following vetches.
To smother weeds.,What is the purpose of using green manure in fields?,Phacelia is another lifter known for its ability to smother weeds.
Rapidly.,How quickly does mustard grow?,"Like mustard, it grows rapidly and is only used for two months cover."
Improved seed germination.,"To improve the soil after wetch incorporation, what can be observed?",Bear in mind that vetches can prevent seed germination when the seed is planted immediately after wetch incorporation.
Spring or summer.,What flowering season should one consider for vetches?,Crops following after vetches tend to have higher yields.
Winter vetch and rye.,What are some winter hardy species ideal for sowing green manures?,"Hardy plant species, such as winter vetch and rye, can allow late sowings to give good ground cover into colder winter weather."
Just below the surface in a well-prepared seedbed.,How should seeds be sown for spring and summer green manures?,"For spring and summer sowing of green manures, sow the seeds just below the surface in a well-prepared seedbed, rolling in to ensure consolidation and intimate contact with the soil."
Crimson clover.,Which legume is ideal to be grown for two to three months and attracts insects?,"It is the most visually attractive green manure with vivid crimson coloured flowers that will be attractive to insects, as well as humans."
Avoid letting mustard flower.,What should be avoided when growing mustard to prevent problems?,It is important not to let the mustard flower as this may cause problems in future years from volunteers.
Blue flowers of phacelia.,"Which flowers can attract bees, wasps, and hover flies?","It produces a mass of blue flowers, which are beneficial for bees, wasps and hover flies."
Avoiding frost-sensitive plants beyond autumn.,What must be considered when setting up green manures in late autumn?,"Due to lack of frost hardiness, mustard, phacelia and crimson clover should not be sown beyond this date."
Broadcast seeds onto a seedbed.,What should be ensured when seeds are sown in winter months?,"In winter months, seeds can be broadcast directly onto a seedbed."
Two species.,How many species are commonly used for winter green manures?,There are only two species commonly used for this purpose—rye and vetches.
"Fixes nitrogen, easy incorporation, good soil organic matter.",What are the benefits of using rye as green manure?,"Rye fixes large amounts of N and is very easy to incorporate in the spring, while rye (not ryegrass) is a good lifter of nitrogen and creates a very good root mass, effectively increasing soil organic matter."
Good ground cover in colder weather.,What is the advantage of late sowings of hardy plants in cold weather?,"Hardy plant species, such as winter vetch and rye, can allow late sowings to give good ground cover into colder winter weather."
With a corn drill at a depth of 25–35mm.,How should rye and vetches be sown effectively?,"Both rye and vetches have large seeds and should be sown with a corn drill at a depth of 25–35mm. Neither have any serious pest problems, nor is it important to use winter varieties."
