ANSWER,QUESTION.question,QUESTION.paragraph
Water Management Technologies for Sustainable Agriculture,What is the title of the document?,Water Management Technologies for Sustainable Agriculture
"R.S. Chhillar, B.S. Kalra, J.P.S. Dabas, Deepti Dhindsa, Neelam Patel, Chander Prakash, S.S. Parihar, Indu Panchal",Who are the members of the publication team listed in the document?,"Publication Team
R.S. Chhillar
B.S. Kalra
J.P.S. Dabas
Deepti Dhindsa
Neelam Patel
Chander Prakash
S.S. Parihar
Indu Panchal"
102/2012,What is the TB-ICN code mentioned in the document?,TB-ICN: 102/2012
"Water Management Technologies for Sustainable Agriculture, Indian Agricultural Research Institute, New Delhi - 110012, India",Who should be cited for the document 'Water Management Technologies for Sustainable Agriculture'?,"Correct citation
Water Management Technologies for Sustainable Agriculture, Indian Agricultural Research Institute, New Delhi - 110012, India"
"Ph.: 45576780, M.: 9810005997; E-mail: pawanmandal@gmail.com",What information about contact details is provided for the publishers?,"Printed at: Venus Printers & Publishers, B-62/8, Naraina Industrial Area, Phase-II, New Delhi - 110 028 Ph.: 45576780, M.: 9810005997; E-mail: pawanmandal@gmail.com"
Malavika Dadlani,Who is the Director of Research at the Indian Agricultural Research Institute?,"Malavika Dadlani
Joint Director (Research)"
Water is added to dilute the mixture of vegetable solids.,What is added to dilute the mixture of vegetable solids?,"set up the required consistency, e.g. by adding water to dilute the mixture of vegetable solids (straw, grass, etc.), or by adding more solids in order to increase the biomass."
"It is achieved with an agitator, pump, or chopper.",What is the desired degree of homogenization and solids content achieved with?,"The desired degree of homogenization and solids content can be achieved with the aid of an agitator, pump or chopper."
36-48 hours.,For how long should dairy farm waste be kept before feeding to the digester?,Any dairy farm waste should be kept for 36-48 hours in dung mixed water before feeding the same.
10-15 cm for liquid and 20-30 cm for fibrous substrates.,What are the diameter ranges for the inlet pipe for liquid and fibrous substrates?,"For liquid substrate, the pipe diameter should be 10-15 cm, while fibrous substrate requires a diameter of 20-30 cm."
Plastic or concrete.,What kind of material is mostly used for inlet and outlet pipes?,The inlet and the outlet pipe mostly consist of plastic or concrete.
It defines the bottom line of the gas-holder and acts as a security valve.,What is the role of the inlet pipe in a fixed-dome plant?,"In a fixed-dome plant, the inlet pipe defines the bottom line of the gas-holder, acting like a security valve to release over-pressure."
It promotes more uniform flow of the substrate.,What is the significance of placing the outlet pipe higher than the inlet pipe?,The inlet pipe goes higher in the digester than the outlet pipe in order to promote more uniform flow of the substrate.
At a point below the lowest slurry level.,Where should pipes penetrate the digester wall in relation to the slurry level?,The pipes should penetrate the digester wall at a point below the lowest slurry level (i.e. not through the gas storage).
