,ANSWER,QUESTION.question,QUESTION.paragraph
170,"Venus Printers & Publishers, B-62/8, Naraina Industrial Area, Phase-II, New Delhi - 110 028",What is the full address of the printing company?,"Printed at: Venus Printers & Publishers, B-62/8, Naraina Industrial Area, Phase-II, New Delhi - 110 028"
171,New Delhi,In which city is the Indian Agricultural Research Institute located?,"Indian Agricultural Research Institute, New Delhi - 110012, India"
172,R.S. Chhillar,Who is one of the Nodal Scientists listed in the document?,"Nodal Scientists
R.S. Chhillar
J.P.S. Dabas
Neelam Patel
S.S. Parihar
B.S. Kalra"
173,R.S. Chhillar,Who is part of the publication team and also serves as a Nodal Scientist?,"Publication Team
R.S. Chhillar
J.P.S. Dabas
Neelam Patel
S.S. Parihar
B.S. Kalra"
174,Water Management Technologies for Sustainable Agriculture,What is the title of the document?,Water Management Technologies for Sustainable Agriculture
175,"R.S. Chhillar, B.S. Kalra, J.P.S. Dabas, Deepti Dhindsa, Neelam Patel, Chander Prakash, S.S. Parihar, Indu Panchal",Who are the members of the publication team listed in the document?,"Publication Team
R.S. Chhillar
B.S. Kalra
J.P.S. Dabas
Deepti Dhindsa
Neelam Patel
Chander Prakash
S.S. Parihar
Indu Panchal"
176,102/2012,What is the TB-ICN code mentioned in the document?,TB-ICN: 102/2012
177,"Water Management Technologies for Sustainable Agriculture, Indian Agricultural Research Institute, New Delhi - 110012, India",Who should be cited for the document 'Water Management Technologies for Sustainable Agriculture'?,"Correct citation
Water Management Technologies for Sustainable Agriculture, Indian Agricultural Research Institute, New Delhi - 110012, India"
178,"Ph.: 45576780, M.: 9810005997; E-mail: pawanmandal@gmail.com",What information about contact details is provided for the publishers?,"Printed at: Venus Printers & Publishers, B-62/8, Naraina Industrial Area, Phase-II, New Delhi - 110 028 Ph.: 45576780, M.: 9810005997; E-mail: pawanmandal@gmail.com"
179,Malavika Dadlani,Who is the Director of Research at the Indian Agricultural Research Institute?,"Malavika Dadlani
Joint Director (Research)"
180,Water is added to dilute the mixture of vegetable solids.,What is added to dilute the mixture of vegetable solids?,"set up the required consistency, e.g. by adding water to dilute the mixture of vegetable solids (straw, grass, etc.), or by adding more solids in order to increase the biomass."
181,"It is achieved with an agitator, pump, or chopper.",What is the desired degree of homogenization and solids content achieved with?,"The desired degree of homogenization and solids content can be achieved with the aid of an agitator, pump or chopper."
182,36-48 hours.,For how long should dairy farm waste be kept before feeding to the digester?,Any dairy farm waste should be kept for 36-48 hours in dung mixed water before feeding the same.
183,10-15 cm for liquid and 20-30 cm for fibrous substrates.,What are the diameter ranges for the inlet pipe for liquid and fibrous substrates?,"For liquid substrate, the pipe diameter should be 10-15 cm, while fibrous substrate requires a diameter of 20-30 cm."
184,Plastic or concrete.,What kind of material is mostly used for inlet and outlet pipes?,The inlet and the outlet pipe mostly consist of plastic or concrete.
185,It defines the bottom line of the gas-holder and acts as a security valve.,What is the role of the inlet pipe in a fixed-dome plant?,"In a fixed-dome plant, the inlet pipe defines the bottom line of the gas-holder, acting like a security valve to release over-pressure."
